identifier,name,date
sio0899,"Treaty with the Sioux-Sans Arc Band,",1865
sio0901,"Treaty with the Sioux-Hunkpapa Band,",1865
sio0903,"Treaty with the Sioux-Yanktonai Band,",1865
sio0905,"Treaty with the Sioux-Upper Yanktonai Band,",1865
sio0906,"Treaty with the Sioux-Oglala Band,",1865
mid0908,"Treaty with the Middle Oregon Tribes,",1865
sem0910,"Treaty with the Seminole,",1866
pot0916,"Treaty with the Potawatomi,",1866
chi0916,"Treaty with the Chippewa-Bois Fort Band,",1866
cho0918,"Treaty with the Choctaw and Chickasaw,",1866
cre0931,"Treaty with the Creeks,",1866
del0937,"Treaty with the Delawares,",1866
for1052,"Agreement at Fort Berthold,",1866
che0942,"Treaty with the Cherokee,",1866
sau0951,"Treaty with the Sauk and Foxes,",1867
sio0956,"Treaty with the Sioux-Sisseton and Wahpeton Bands,",1867
sen0960,"Treaty with the Seneca, Mixed Seneca and Shawnee, Quapaw, etc.,",1867
pot0970,"Treaty with the Potawatomi,",1867
chi0974,"Treaty with the Chippewa of the Mississippi,",1867
kio0977,"Treaty with the Kiowa and Comanche,",1867
kio0982,"Treaty with the Kiowa, Comanche, and Apache,",1867
che0984,"Treaty with the Cheyenne and Arapaho,",1867
ute0990,"Treaty with the Ute,",1868
che0996,"Treaty with the Cherokee,",1868
sio0998,"Treaty with the Sioux-Brule, Oglala, Miniconjou, Yanktonai,",1868
sio0998,"Hunkpapa, Blackfeet, Cuthead, Two Kettle, Sans Arcs, and",1868
sio0998,"Santee-and Arapaho,",1868
cro1008,"Treaty with the Crows,",1868
nor1012,"Treaty with the Northern Cheyenne and Northern Arapaho,",1868
nav1015,"Treaty with the Navaho,",1868
sho1020,"Treaty with the Eastern Band Shoshoni and Bannock,",1868
nez1024,"Treaty with the Nez Perces,",1868
sio1057,"Agreement with the Sisseton and Wahpeton Bands of Sioux Indians,",1872
sio1059,"Amended Agreement with Certain Sioux Indians,",1873
cro1063,"Agreement with the Crows,",1880
sio1065,"Agreement with the Sioux of Various Tribes,",1882
col1073,"Agreement with the Columbia and Colville,",1883
che1041,"Agreement with the Cherokee,",1935
